,open,high,low,close,volume,value
2022-10-03 18:00:00,27863000.0,27869000.0,27765000.0,27816000.0,107.44073309,2987475767.6136
2022-10-03 19:00:00,27816000.0,27901000.0,27785000.0,27880000.0,125.62405997,3499568290.48785
2022-10-03 20:00:00,27887000.0,27920000.0,27848000.0,27900000.0,92.69274034,2584513995.15105
2022-10-03 21:00:00,27901000.0,27933000.0,27846000.0,27902000.0,109.03332688,3041021961.21995
2022-10-03 22:00:00,27920000.0,27986000.0,27776000.0,27838000.0,286.73705589,7995749931.99072
2022-10-03 23:00:00,27839000.0,28200000.0,27838000.0,28070000.0,482.20428579,13523396829.31884
2022-10-04 00:00:00,28070000.0,28167000.0,27952000.0,27960000.0,272.73955008,7656305224.75423
2022-10-04 01:00:00,27960000.0,28069000.0,27930000.0,28069000.0,85.05242365,2381770781.71294
2022-10-04 02:00:00,28069000.0,28262000.0,28060000.0,28191000.0,183.54553092,5174816020.89306
2022-10-04 03:00:00,28206000.0,28330000.0,28191000.0,28293000.0,152.55855615,4313764129.93516
2022-10-04 04:00:00,28293000.0,28322000.0,28059000.0,28161000.0,114.16693705,3217288972.93968
2022-10-04 05:00:00,28165000.0,28250000.0,28160000.0,28207000.0,58.50895131,1649698931.89712
2022-10-04 06:00:00,28229000.0,28238000.0,28159000.0,28167000.0,103.52717977,2917984320.1066
2022-10-04 07:00:00,28173000.0,28225000.0,28097000.0,28111000.0,125.69127441,3539214234.89918
2022-10-04 08:00:00,28120000.0,28375000.0,28111000.0,28299000.0,248.40216868,7025400633.39657
2022-10-04 09:00:00,28280000.0,28400000.0,28154000.0,28206000.0,235.18583714,6650937767.74818
2022-10-04 10:00:00,28203000.0,28235000.0,28150000.0,28150000.0,165.71798337,4673093252.89047
2022-10-04 11:00:00,28149000.0,28218000.0,28145000.0,28211000.0,98.95904494,2788774135.10442
2022-10-04 12:00:00,28211000.0,28289000.0,28211000.0,28261000.0,91.3247102,2580060883.38001
2022-10-04 13:00:00,28261000.0,28284000.0,28201000.0,28226000.0,117.47711295,3317682577.75196
2022-10-04 14:00:00,28226000.0,28293000.0,28206000.0,28248000.0,107.52734415,3037064521.90902
